TimeStamp (hh:mm:ss),Time (s),TC_Helmet (mV),HF_Helmet (mV),TC_Helmet ©,HF_Helmet (kW/m2)
11:06:34,30,-0.05,-0.02,17,0
11:06:35,31,-0.05,0,17,0
11:06:36,32,-0.05,-0.02,17,0
11:06:37,33,-0.05,-0.02,17,0
11:06:38,34,-0.05,-0.02,17,0
11:06:39,35,-0.06,-0.02,17,0
11:06:40,36,-0.05,-0.02,17,0
11:06:41,37,-0.05,-0.02,17,0
11:06:42,38,-0.05,-0.02,17,0
11:06:43,39,-0.05,-0.02,17,0
11:06:44,40,-0.05,-0.02,17,0
11:06:45,41,-0.05,-0.02,17,0
11:06:46,42,-0.05,-0.02,17,0
11:06:47,43,-0.05,-0.02,17,0
11:06:48,44,-0.05,0,17,0
11:06:49,45,-0.05,-0.02,17,0
11:06:50,46,-0.05,0,17,0
11:06:51,47,-0.05,-0.02,17,0
11:06:52,48,-0.05,0,17,0
11:06:53,49,-0.05,-0.02,17,0
11:06:54,50,-0.05,-0.02,17,0
11:06:55,51,-0.05,-0.02,17,0
11:06:56,52,-0.05,0,17,0
11:06:57,53,-0.05,-0.02,17,0
11:06:58,54,-0.05,-0.02,17,0
11:06:59,55,-0.05,-0.02,17,0
11:07:00,56,-0.05,-0.02,17,0
11:07:01,57,-0.05,-0.02,17,0
11:07:02,58,-0.05,-0.02,17,0
11:07:03,59,-0.05,-0.03,17,0
11:07:04,60,-0.05,-0.03,17,0
11:07:05,61,-0.05,-0.03,17,0
11:07:06,62,-0.05,-0.03,17,0
11:07:07,63,-0.05,-0.03,17,0
11:07:08,64,-0.05,-0.03,17,0
11:07:09,65,-0.05,-0.03,17,0
11:07:10,66,-0.05,-0.05,17,-0.1
11:07:11,67,-0.05,-0.03,17,0
11:07:12,68,-0.05,-0.03,17,0
11:07:13,69,-0.05,-0.03,17,0
11:07:14,70,-0.05,-0.03,17,0
11:07:15,71,-0.05,-0.03,17,0
11:07:16,72,-0.06,-0.03,17,0
11:07:17,73,-0.05,0,17,0
11:07:18,74,-0.05,0,17,0
11:07:19,75,-0.05,-0.02,17,0
11:07:20,76,-0.03,-0.02,18,0
11:07:21,77,-0.03,-0.02,18,0
11:07:22,78,-0.03,0,18,0
11:07:23,79,-0.03,0,18,0
11:07:24,80,-0.03,-0.02,18,0
11:07:25,81,-0.03,0,18,0
11:07:26,82,-0.03,0,18,0
11:07:27,83,-0.02,0,18,0
11:07:28,84,-0.02,0,18,0
11:07:29,85,-0.02,-0.02,18,0
11:07:30,86,-0.02,0,18,0
11:07:31,87,-0.02,0,18,0
11:07:32,88,-0.03,-0.02,18,0
11:07:33,89,-0.02,-0.02,18,0
11:07:34,90,-0.03,0,18,0
11:07:35,91,-0.02,0,18,0
11:07:36,92,-0.03,-0.02,18,0
11:07:37,93,-0.02,0,18,0
11:07:38,94,-0.03,0,18,0
11:07:39,95,-0.03,0,18,0
11:07:40,96,-0.03,0,18,0
11:07:41,97,-0.02,0,18,0
11:07:42,98,-0.02,0,18,0
11:07:43,99,-0.02,0,18,0
11:07:44,100,-0.03,0,18,0
11:07:45,101,-0.02,-0.02,18,0
11:07:46,102,-0.03,-0.02,18,0
11:07:47,103,-0.02,-0.02,18,0
11:07:48,104,-0.02,0,18,0
11:07:49,105,-0.02,0,18,0
11:07:50,106,-0.02,-0.02,18,0
11:07:51,107,-0.02,0,18,0
11:07:52,108,-0.02,-0.02,18,0
11:07:53,109,-0.02,-0.02,18,0
11:07:54,110,-0.02,-0.02,18,0
11:07:55,111,-0.02,-0.02,18,0
11:07:56,112,-0.02,-0.02,18,0
11:07:57,113,-0.02,-0.02,18,0
11:07:58,114,-0.02,-0.02,18,0
11:07:59,115,-0.02,-0.02,18,0
11:08:00,116,-0.02,-0.02,18,0
11:08:01,117,-0.02,-0.03,18,0
11:08:02,118,-0.03,-0.05,18,-0.1
11:08:03,119,-0.03,-0.03,18,0
11:08:04,120,-0.03,-0.03,18,0
11:08:05,121,-0.03,-0.03,18,0
11:08:06,122,-0.03,-0.03,18,0
11:08:07,123,-0.03,-0.03,18,0
11:08:08,124,-0.03,-0.03,18,0
11:08:09,125,-0.03,-0.03,18,0
11:08:10,126,-0.03,-0.03,18,0
11:08:11,127,-0.03,-0.02,18,0
11:08:12,128,-0.03,-0.02,18,0
11:08:13,129,-0.03,-0.02,18,0
11:08:14,130,-0.03,-0.02,18,0
11:08:15,131,-0.03,-0.02,18,0
11:08:16,132,-0.05,-0.02,17,0
11:08:17,133,-0.05,0,17,0
11:08:18,134,-0.03,-0.02,18,0
11:08:19,135,-0.03,-0.02,18,0
11:08:20,136,-0.03,-0.02,18,0
11:08:21,137,-0.03,-0.02,18,0
11:08:22,138,-0.05,0,17,0
11:08:23,139,-0.03,0,18,0
11:08:24,140,-0.03,0,18,0
11:08:25,141,-0.03,0,18,0
11:08:26,142,-0.05,0,17,0
11:08:27,143,-0.03,0,18,0
11:08:28,144,-0.03,0,18,0
11:08:29,145,-0.03,-0.02,18,0
11:08:30,146,-0.03,-0.02,18,0
11:08:31,147,-0.03,-0.02,18,0
11:08:32,148,-0.03,-0.03,18,0
11:08:33,149,-0.03,-0.03,18,0
11:08:34,150,-0.03,-0.03,18,0
11:08:35,151,-0.03,-0.03,18,0
11:08:36,152,-0.05,-0.03,17,0
11:08:37,153,-0.05,-0.03,17,0
11:08:38,154,-0.05,-0.02,17,0
11:08:39,155,-0.03,-0.02,18,0
11:08:40,156,-0.03,-0.02,18,0
11:08:41,157,-0.05,-0.02,17,0
11:08:42,158,-0.05,-0.02,17,0
11:08:43,159,-0.03,-0.02,18,0
11:08:44,160,-0.05,-0.02,17,0
11:08:45,161,-0.03,-0.02,18,0
11:08:46,162,-0.05,-0.02,17,0
11:08:47,163,-0.05,-0.02,17,0
11:08:48,164,-0.03,-0.02,18,0
11:08:49,165,-0.03,-0.02,18,0
11:08:50,166,-0.05,-0.02,17,0
11:08:51,167,-0.05,-0.02,17,0
11:08:52,168,-0.05,-0.02,17,0
11:08:53,169,-0.05,0,17,0
11:08:54,170,-0.03,0,18,0
11:08:55,171,-0.05,-0.02,17,0
11:08:56,172,-0.03,-0.02,18,0
11:08:57,173,-0.05,-0.02,17,0
11:08:58,174,-0.03,0,18,0
11:08:59,175,-0.03,-0.02,18,0
11:09:00,176,-0.03,-0.02,18,0
11:09:01,177,-0.03,-0.03,18,0
11:09:02,178,-0.03,-0.02,18,0
11:09:03,179,-0.05,-0.02,17,0
11:09:04,180,-0.05,-0.02,17,0
11:09:05,181,-0.03,-0.02,18,0
11:09:06,182,-0.03,-0.02,18,0
11:09:07,183,-0.05,-0.02,17,0
11:09:08,184,-0.03,-0.02,18,0
11:09:09,185,-0.03,-0.02,18,0
11:09:10,186,-0.05,-0.02,17,0
11:09:11,187,-0.03,-0.02,18,0
11:09:12,188,-0.03,-0.02,18,0
11:09:13,189,-0.05,-0.02,17,0
11:09:14,190,-0.05,-0.02,17,0
11:09:15,191,-0.03,-0.02,18,0
11:09:16,192,-0.03,-0.02,18,0
11:09:17,193,-0.05,-0.02,17,0
11:09:18,194,-0.03,-0.02,18,0
11:09:19,195,-0.05,-0.02,17,0
11:09:20,196,-0.03,-0.02,18,0
11:09:21,197,-0.05,-0.02,17,0
11:09:22,198,-0.05,-0.02,17,0
11:09:23,199,-0.05,-0.02,17,0
11:09:24,200,-0.03,-0.02,18,0
11:09:25,201,-0.05,-0.02,17,0
11:09:26,202,-0.05,-0.02,17,0
11:09:27,203,-0.03,-0.02,18,0
11:09:28,204,-0.05,-0.02,17,0
11:09:29,205,-0.05,-0.02,17,0
11:09:30,206,-0.05,-0.02,17,0
11:09:31,207,-0.05,-0.02,17,0
11:09:32,208,-0.05,-0.02,17,0
11:09:33,209,-0.03,-0.02,18,0
11:09:34,210,-0.05,-0.02,17,0
11:09:35,211,-0.05,-0.02,17,0
11:09:36,212,-0.05,-0.02,17,0
11:09:37,213,-0.03,-0.02,18,0
11:09:38,214,-0.05,-0.02,17,0
11:09:39,215,-0.03,-0.02,18,0
11:09:40,216,-0.05,-0.02,17,0
11:09:41,217,-0.05,-0.02,17,0
11:09:42,218,-0.03,-0.02,18,0
11:09:43,219,-0.03,-0.02,18,0
11:09:44,220,-0.05,-0.02,17,0
11:09:45,221,-0.05,-0.02,17,0
11:09:46,222,-0.05,-0.02,17,0
11:09:47,223,-0.05,-0.02,17,0
11:09:48,224,-0.05,-0.02,17,0
11:09:49,225,-0.05,-0.02,17,0
11:09:50,226,-0.05,-0.02,17,0
11:09:51,227,-0.03,-0.02,18,0
11:09:52,228,-0.05,-0.02,17,0
11:09:53,229,-0.05,-0.02,17,0
11:09:54,230,-0.05,-0.02,17,0
11:09:55,231,-0.03,-0.02,18,0
11:09:56,232,-0.05,-0.02,17,0
11:09:57,233,-0.05,-0.02,17,0
11:09:58,234,-0.05,-0.02,17,0
11:09:59,235,-0.05,-0.02,17,0
11:10:00,236,-0.03,-0.02,18,0
11:10:01,237,-0.05,-0.02,17,0
11:10:02,238,-0.05,-0.02,17,0
11:10:03,239,-0.03,-0.02,18,0
11:10:04,240,-0.05,-0.02,17,0
11:10:05,241,-0.05,-0.02,17,0
11:10:06,242,-0.03,-0.02,18,0
11:10:07,243,-0.05,-0.02,17,0
11:10:08,244,-0.03,-0.02,18,0
11:10:09,245,-0.03,-0.02,18,0
11:10:10,246,-0.03,-0.02,18,0
11:10:11,247,-0.05,-0.02,17,0
11:10:12,248,-0.03,-0.02,18,0
11:10:13,249,-0.05,-0.02,17,0
11:10:14,250,-0.05,-0.02,17,0
11:10:15,251,-0.05,-0.02,17,0
11:10:16,252,-0.05,-0.02,17,0
11:10:17,253,-0.05,-0.02,17,0
11:10:18,254,-0.05,-0.02,17,0
11:10:19,255,-0.03,-0.02,18,0
11:10:20,256,-0.05,-0.02,17,0
11:10:21,257,-0.05,-0.03,17,0
11:10:22,258,-0.05,-0.03,17,0
11:10:23,259,-0.03,-0.02,18,0
11:10:24,260,-0.03,-0.02,18,0
11:10:25,261,-0.03,-0.02,18,0
11:10:26,262,-0.05,-0.02,17,0
11:10:27,263,-0.03,-0.02,18,0
11:10:28,264,-0.05,-0.02,17,0
11:10:29,265,-0.03,-0.02,18,0
11:10:30,266,-0.05,-0.03,17,0
11:10:31,267,-0.05,-0.03,17,0
11:10:32,268,-0.05,-0.02,17,0
11:10:33,269,-0.05,-0.02,17,0
11:10:34,270,-0.05,-0.02,17,0
11:10:35,271,-0.05,-0.02,17,0
11:10:36,272,-0.05,-0.02,17,0
11:10:37,273,-0.05,-0.02,17,0
11:10:38,274,-0.03,-0.02,18,0
11:10:39,275,-0.05,-0.02,17,0
11:10:40,276,-0.05,-0.02,17,0
11:10:41,277,-0.05,-0.02,17,0
11:10:42,278,-0.05,-0.03,17,0
11:10:43,279,-0.05,-0.03,17,0
11:10:44,280,-0.05,-0.02,17,0
11:10:45,281,-0.03,-0.02,18,0
11:10:46,282,-0.05,-0.03,17,0
11:10:47,283,-0.05,-0.03,17,0
11:10:48,284,-0.05,-0.03,17,0
11:10:49,285,-0.05,-0.03,17,0
11:10:50,286,-0.05,-0.03,17,0
11:10:51,287,-0.05,-0.03,17,0
11:10:52,288,-0.05,-0.03,17,0
11:10:53,289,-0.05,-0.02,17,0
11:10:54,290,-0.05,-0.02,17,0
11:10:55,291,-0.05,-0.02,17,0
11:10:56,292,-0.05,-0.02,17,0
11:10:57,293,-0.05,-0.02,17,0
11:10:58,294,-0.05,-0.03,17,0
11:10:59,295,-0.05,-0.02,17,0
11:11:00,296,-0.05,-0.02,17,0
11:11:01,297,-0.05,-0.03,17,0
11:11:02,298,-0.05,-0.02,17,0
11:11:03,299,-0.03,-0.02,18,0
11:11:04,300,-0.05,-0.02,17,0
11:11:05,301,-0.05,-0.03,17,0
11:11:06,302,-0.05,-0.02,17,0
11:11:07,303,-0.05,-0.02,17,0
11:11:08,304,-0.05,-0.02,17,0
11:11:09,305,-0.05,-0.02,17,0
11:11:10,306,-0.05,-0.02,17,0
11:11:11,307,-0.05,-0.02,17,0
11:11:12,308,-0.05,-0.02,17,0
11:11:13,309,-0.03,-0.02,18,0
11:11:14,310,-0.03,-0.02,18,0
11:11:15,311,-0.05,-0.02,17,0
11:11:16,312,-0.05,-0.02,17,0
11:11:17,313,-0.05,-0.02,17,0
11:11:18,314,-0.05,-0.02,17,0
11:11:19,315,-0.05,-0.02,17,0
11:11:20,316,-0.05,-0.02,17,0
11:11:21,317,-0.03,-0.02,18,0
11:11:22,318,-0.05,-0.02,17,0
11:11:23,319,-0.05,-0.02,17,0
11:11:24,320,-0.05,-0.02,17,0
11:11:25,321,-0.05,0,17,0
11:11:26,322,-0.05,0,17,0
11:11:27,323,-0.05,-0.02,17,0
11:11:28,324,-0.05,-0.02,17,0
11:11:29,325,-0.05,-0.02,17,0
11:11:30,326,-0.03,-0.02,18,0
11:11:31,327,-0.05,-0.02,17,0
11:11:32,328,-0.05,-0.03,17,0
11:11:33,329,-0.05,-0.03,17,0
11:11:34,330,-0.05,-0.02,17,0
11:11:35,331,-0.05,-0.02,17,0
11:11:36,332,-0.05,-0.03,17,0
11:11:37,333,-0.05,-0.02,17,0
11:11:38,334,-0.05,-0.02,17,0
11:11:39,335,-0.05,-0.02,17,0
11:11:40,336,-0.05,0,17,0
11:11:41,337,-0.05,-0.02,17,0
11:11:42,338,-0.05,-0.02,17,0
11:11:43,339,-0.05,-0.02,17,0
11:11:44,340,-0.05,-0.02,17,0
11:11:45,341,-0.05,-0.02,17,0
11:11:46,342,-0.05,-0.02,17,0
11:11:47,343,-0.05,-0.02,17,0
11:11:48,344,-0.05,-0.02,17,0
11:11:49,345,-0.05,-0.02,17,0
11:11:50,346,-0.05,-0.02,17,0
11:11:51,347,-0.05,-0.02,17,0
11:11:52,348,-0.05,-0.02,17,0
11:11:53,349,-0.05,-0.02,17,0
11:11:54,350,-0.05,-0.03,17,0
11:11:55,351,-0.05,-0.02,17,0
11:11:56,352,-0.05,-0.02,17,0
11:11:57,353,-0.05,-0.02,17,0
11:11:58,354,-0.05,-0.02,17,0
11:11:59,355,-0.05,-0.03,17,0
11:12:00,356,-0.03,-0.03,18,0
11:12:01,357,-0.05,-0.03,17,0
11:12:02,358,-0.05,-0.02,17,0
11:12:03,359,-0.05,-0.02,17,0
11:12:04,360,-0.05,-0.02,17,0
11:12:05,361,-0.05,-0.02,17,0
11:12:06,362,-0.05,-0.02,17,0
11:12:07,363,-0.05,-0.02,17,0
11:12:08,364,-0.05,-0.02,17,0
11:12:09,365,-0.05,-0.02,17,0
11:12:10,366,-0.05,-0.02,17,0
11:12:11,367,-0.05,-0.02,17,0
11:12:12,368,-0.05,-0.02,17,0
11:12:13,369,-0.05,-0.02,17,0
11:12:14,370,-0.05,0,17,0
11:12:15,371,-0.05,-0.02,17,0
11:12:16,372,-0.03,-0.02,18,0
11:12:17,373,-0.03,-0.02,18,0
11:12:18,374,-0.05,-0.02,17,0
11:12:19,375,-0.05,-0.02,17,0
11:12:20,376,-0.05,-0.02,17,0
11:12:21,377,-0.05,-0.03,17,0
11:12:22,378,-0.05,-0.02,17,0
11:12:23,379,-0.05,-0.03,17,0
11:12:24,380,-0.05,-0.03,17,0
11:12:25,381,-0.05,-0.03,17,0
11:12:26,382,-0.05,-0.03,17,0
11:12:27,383,-0.05,-0.05,17,-0.1
11:12:28,384,-0.05,-0.03,17,0
11:12:29,385,-0.05,-0.03,17,0
11:12:30,386,-0.05,-0.05,17,-0.1
11:12:31,387,-0.05,-0.05,17,-0.1
11:12:32,388,-0.05,-0.05,17,-0.1
11:12:33,389,-0.05,-0.05,17,-0.1
11:12:34,390,-0.05,-0.05,17,-0.1
11:12:35,391,-0.05,-0.05,17,-0.1
11:12:36,392,-0.05,-0.05,17,-0.1
11:12:37,393,-0.05,-0.05,17,-0.1
11:12:38,394,-0.05,-0.03,17,0
11:12:39,395,-0.05,-0.05,17,-0.1
11:12:40,396,-0.05,-0.03,17,0
11:12:41,397,-0.05,-0.03,17,0
11:12:42,398,-0.05,-0.03,17,0
11:12:43,399,-0.05,-0.02,17,0
11:12:44,400,-0.05,-0.02,17,0
11:12:45,401,-0.05,-0.02,17,0
11:12:46,402,-0.05,-0.03,17,0
11:12:47,403,-0.06,-0.03,17,0
11:12:48,404,-0.05,-0.02,17,0
11:12:49,405,-0.05,-0.02,17,0
11:12:50,406,-0.05,-0.03,17,0
11:12:51,407,-0.05,-0.02,17,0
11:12:52,408,-0.05,-0.02,17,0
11:12:53,409,-0.05,-0.03,17,0
11:12:54,410,-0.05,-0.02,17,0
11:12:55,411,-0.05,-0.02,17,0
11:12:56,412,-0.05,-0.02,17,0
11:12:57,413,-0.05,-0.02,17,0
11:12:58,414,-0.05,-0.02,17,0
11:12:59,415,-0.05,-0.02,17,0
11:13:00,416,-0.05,-0.02,17,0
11:13:01,417,-0.05,-0.02,17,0
11:13:02,418,-0.05,-0.02,17,0
11:13:03,419,-0.05,-0.02,17,0
11:13:04,420,-0.05,-0.02,17,0
11:13:05,421,-0.05,-0.02,17,0
11:13:06,422,-0.05,-0.03,17,0
11:13:07,423,-0.06,-0.03,17,0
11:13:08,424,-0.06,-0.02,17,0
11:13:09,425,-0.05,-0.02,17,0
11:13:10,426,-0.05,-0.02,17,0
11:13:11,427,-0.05,-0.02,17,0
11:13:12,428,-0.05,-0.02,17,0
11:13:13,429,-0.05,-0.02,17,0
11:13:14,430,-0.05,-0.02,17,0
11:13:15,431,-0.05,-0.02,17,0
11:13:16,432,-0.05,-0.02,17,0
11:13:17,433,-0.05,-0.02,17,0
11:13:18,434,-0.06,-0.02,17,0
11:13:19,435,-0.05,-0.02,17,0
11:13:20,436,-0.06,-0.02,17,0
11:13:21,437,-0.06,-0.02,17,0
11:13:22,438,-0.06,-0.02,17,0
11:13:23,439,-0.05,-0.02,17,0
11:13:24,440,-0.05,-0.02,17,0
11:13:25,441,-0.05,-0.02,17,0
11:13:26,442,-0.06,-0.02,17,0
11:13:27,443,-0.06,-0.02,17,0
11:13:28,444,-0.05,-0.02,17,0
11:13:29,445,-0.06,-0.02,17,0
11:13:30,446,-0.06,-0.02,17,0
11:13:31,447,-0.06,-0.02,17,0
11:13:32,448,-0.06,-0.02,17,0
11:13:33,449,-0.05,-0.02,17,0
11:13:34,450,-0.06,-0.02,17,0
11:13:35,451,-0.06,-0.02,17,0
11:13:36,452,-0.06,-0.02,17,0
11:13:37,453,-0.05,-0.02,17,0
11:13:38,454,-0.05,-0.02,17,0
11:13:39,455,-0.05,-0.02,17,0
11:13:40,456,-0.06,-0.02,17,0
11:13:41,457,-0.06,-0.02,17,0
11:13:42,458,-0.06,-0.02,17,0
11:13:43,459,-0.06,-0.02,17,0
11:13:44,460,-0.05,-0.02,17,0
11:13:45,461,-0.06,-0.02,17,0
11:13:46,462,-0.06,-0.02,17,0
11:13:47,463,-0.06,-0.02,17,0
11:13:48,464,-0.05,-0.02,17,0
11:13:49,465,-0.06,-0.02,17,0
11:13:50,466,-0.05,-0.02,17,0
11:13:51,467,-0.05,-0.02,17,0
11:13:52,468,-0.06,-0.02,17,0
11:13:53,469,-0.05,-0.02,17,0
11:13:54,470,-0.05,-0.02,17,0
11:13:55,471,-0.06,-0.02,17,0
11:13:56,472,-0.05,-0.02,17,0
11:13:57,473,-0.06,-0.02,17,0
11:13:58,474,-0.06,-0.02,17,0
11:13:59,475,-0.06,-0.02,17,0
11:14:00,476,-0.05,-0.02,17,0
11:14:01,477,-0.06,-0.02,17,0
11:14:02,478,-0.06,-0.02,17,0
11:14:03,479,-0.06,-0.02,17,0
11:14:04,480,-0.06,-0.02,17,0
11:14:05,481,-0.06,-0.02,17,0
11:14:06,482,-0.06,-0.02,17,0
11:14:07,483,-0.06,-0.02,17,0
11:14:08,484,-0.06,-0.02,17,0
11:14:09,485,-0.06,-0.02,17,0
11:14:10,486,-0.06,-0.02,17,0
11:14:11,487,-0.06,-0.02,17,0
11:14:12,488,-0.06,-0.02,17,0
11:14:13,489,-0.05,-0.02,17,0
11:14:14,490,-0.06,-0.02,17,0
11:14:15,491,-0.06,-0.02,17,0
11:14:16,492,-0.06,-0.02,17,0
11:14:17,493,-0.05,-0.02,17,0
11:14:18,494,-0.05,-0.02,17,0
11:14:19,495,-0.05,-0.02,17,0
11:14:20,496,-0.06,-0.03,17,0
11:14:21,497,-0.06,-0.02,17,0
11:14:22,498,-0.06,-0.02,17,0
11:14:23,499,-0.06,-0.02,17,0
11:14:24,500,-0.06,-0.02,17,0
11:14:25,501,-0.06,-0.02,17,0
11:14:26,502,-0.06,-0.02,17,0
11:14:27,503,-0.06,-0.02,17,0
11:14:28,504,-0.06,-0.03,17,0
11:14:29,505,-0.06,-0.03,17,0
11:14:30,506,-0.06,-0.02,17,0
11:14:31,507,-0.06,-0.02,17,0
11:14:32,508,-0.06,-0.02,17,0
11:14:33,509,-0.06,-0.02,17,0
11:14:34,510,-0.06,0,17,0
11:14:35,511,-0.05,-0.02,17,0
11:14:36,512,-0.05,-0.02,17,0
11:14:37,513,-0.06,-0.02,17,0
11:14:38,514,-0.06,-0.02,17,0
11:14:39,515,-0.06,-0.03,17,0
11:14:40,516,-0.06,-0.03,17,0
11:14:41,517,-0.06,-0.05,17,-0.1
11:14:42,518,-0.06,-0.03,17,0
11:14:43,519,-0.05,-0.02,17,0
11:14:44,520,-0.06,-0.02,17,0
11:14:45,521,-0.05,-0.02,17,0
11:14:46,522,-0.06,-0.02,17,0
11:14:47,523,-0.06,-0.02,17,0
11:14:48,524,-0.05,-0.02,17,0
11:14:49,525,-0.06,-0.02,17,0
11:14:50,526,-0.06,-0.03,17,0
11:14:51,527,-0.06,-0.02,17,0
11:14:52,528,-0.06,-0.03,17,0
11:14:53,529,-0.06,-0.02,17,0
11:14:54,530,-0.06,-0.03,17,0
11:14:55,531,-0.06,-0.02,17,0
11:14:56,532,-0.06,-0.03,17,0
11:14:57,533,-0.06,-0.03,17,0
11:14:58,534,-0.06,-0.02,17,0
11:14:59,535,-0.06,-0.02,17,0
11:15:00,536,-0.06,-0.02,17,0
11:15:01,537,-0.06,-0.02,17,0
11:15:02,538,-0.06,-0.02,17,0
11:15:03,539,-0.06,-0.03,17,0
11:15:04,540,-0.06,-0.02,17,0
11:15:05,541,-0.06,-0.02,17,0
11:15:06,542,-0.06,-0.02,17,0
11:15:07,543,-0.06,-0.02,17,0
11:15:08,544,-0.06,-0.02,17,0
11:15:09,545,-0.06,-0.02,17,0
11:15:10,546,-0.06,-0.02,17,0
11:15:11,547,-0.06,-0.03,17,0
11:15:12,548,-0.06,-0.02,17,0
11:15:13,549,-0.06,-0.03,17,0
11:15:14,550,-0.06,-0.03,17,0
11:15:15,551,-0.06,-0.03,17,0
11:15:16,552,-0.06,-0.03,17,0
11:15:17,553,-0.06,-0.03,17,0
11:15:18,554,-0.06,-0.03,17,0
11:15:19,555,-0.06,-0.03,17,0
11:15:20,556,-0.06,-0.03,17,0
11:15:21,557,-0.06,-0.03,17,0
11:15:22,558,-0.06,-0.03,17,0
11:15:23,559,-0.06,-0.02,17,0
11:15:24,560,-0.06,-0.03,17,0
11:15:25,561,-0.06,-0.03,17,0
11:15:26,562,-0.06,-0.02,17,0
11:15:27,563,-0.06,-0.03,17,0
11:15:28,564,-0.06,-0.03,17,0
11:15:29,565,-0.06,-0.03,17,0
11:15:30,566,-0.06,-0.03,17,0
11:15:31,567,-0.06,-0.03,17,0
11:15:32,568,-0.06,-0.03,17,0
11:15:33,569,-0.06,-0.03,17,0
11:15:34,570,-0.06,-0.02,17,0
