Time (s),HRR (kW),F (-)
0,0,0.000
17,4.5,0.001
22.7,4.5,0.001
25.1,15.7,0.003
34.8,12,0.002
46,12,0.002
53.3,15.7,0.003
65.1,19.5,0.004
79.9,49.4,0.009
97.5,98,0.018
112.3,146.7,0.027
125,199,0.037
132.9,225.2,0.041
141.7,236.4,0.043
144.1,258.9,0.048
146.9,266.4,0.049
156.5,333.7,0.061
160.5,337.5,0.062
167.4,367.4,0.067
176.5,419.8,0.077
183.8,431,0.079
187.7,423.5,0.078
194.7,487.1,0.089
197.1,543.2,0.100
201.4,621.8,0.114
204.1,636.7,0.117
205.3,685.4,0.126
207.7,715.3,0.131
214.7,749,0.138
221.9,786.4,0.144
230.1,838.8,0.154
235.3,868.7,0.160
241.3,913.6,0.168
244,995.9,0.183
245.6,1037,0.190
247.4,1040.8,0.191
249.5,1074.4,0.197
251,1078.2,0.198
252.8,1149.3,0.211
257.1,1212.9,0.223
260.4,1302.6,0.239
268.6,1579.5,0.290
273.4,1732.9,0.318
278.6,1792.7,0.329
281.9,1882.5,0.346
284.9,2006,0.368
288.2,2118.2,0.389
292.2,2350.1,0.432
294.9,2559.6,0.470
296.4,2686.8,0.494
297.3,2952.4,0.542
299.2,3109.6,0.571
302.2,3494.9,0.642
304.3,3685.7,0.677
306.4,3861.5,0.709
308.2,3962.5,0.728
310.1,4127.1,0.758
312.2,4261.8,0.783
314,4314.2,0.792
317.3,4467.6,0.821
318.8,4579.8,0.841
320.6,4688.3,0.861
322.2,4714.5,0.866
322.5,4811.8,0.884
323.4,4879.1,0.896
325.5,4946.4,0.909
326.1,5036.2,0.925
327.3,5118.5,0.940
331.9,5148.4,0.946
334.3,4935.2,0.907
335.5,5152.2,0.946
336.1,5234.5,0.962
337.6,5328,0.979
338.8,5316.8,0.977
339.4,5223.3,0.959
340.6,5260.7,0.966
341.8,5230.7,0.961
343.4,5122.3,0.941
344.9,5051.2,0.928
345.5,4905.3,0.901
346.7,4849.2,0.891
349.1,4897.8,0.900
352.1,4916.5,0.903
352.7,5047.4,0.927
355.2,4905.3,0.901
355.8,5010,0.920
356.1,5152.2,0.946
356.4,5212,0.957
357.6,5242,0.963
358.8,5343,0.981
360.3,5260.7,0.966
361.5,5197.1,0.955
362.1,5111,0.939
362.7,5054.9,0.929
364.9,5069.9,0.931
365.2,4912.8,0.902
366.1,4849.2,0.891
367,4905.3,0.901
368.5,4976.4,0.914
371.2,5010,0.920
372.4,5077.4,0.933
373.3,5103.6,0.937
374.8,5204.6,0.956
376.7,4998.8,0.918
377.6,5088.6,0.935
378.8,5006.3,0.920
379.7,5208.3,0.957
380.3,5354.2,0.984
380.6,5391.6,0.990
382.4,5305.6,0.975
383.6,5324.3,0.978
385.1,5444,1.000
387,5339.2,0.981
387.9,5316.8,0.977
389.1,5264.4,0.967
389.7,4995.1,0.918
390.9,4707,0.865
391.5,4587.3,0.843
393,4546.1,0.835
393.9,4583.5,0.842
394.5,4493.8,0.825
395.7,4523.7,0.831
396.7,4481.1,0.823
397.6,4346.5,0.798
399.2,4387.6,0.806
400.4,4365.2,0.802
400.7,4185.6,0.769
401.9,4163.2,0.765
403.7,4107,0.754
404.9,4036,0.741
405.8,3871.4,0.711
406.7,3920,0.720
409.2,3804,0.699
409.8,3680.6,0.676
410.7,3673.1,0.675
414,3299,0.606
415.7,3311.6,0.608
417.5,3139.5,0.577
418.7,3210.6,0.590
420,3105.8,0.570
420.9,3143.2,0.577
422.1,3147,0.578
423,3046,0.560
424.8,3008.6,0.553
426,2941.2,0.540
426.9,2847.7,0.523
427.8,2810.3,0.516
428.7,2750.4,0.505
430.9,2731.7,0.502
431.8,2683.1,0.493
432.7,2664.4,0.489
434.2,2679.4,0.492
435.7,2660.6,0.489
436.9,2600.8,0.478
437.5,2548.4,0.468
438.7,2518.5,0.463
439.9,2421.2,0.445
441.5,2342.7,0.430
442.7,2368.8,0.435
443.6,2338.9,0.430
444.8,2320.2,0.426
445.7,2279.1,0.419
446.6,2305.2,0.423
447.8,2196.8,0.404
448.4,2256.6,0.415
449.6,2193,0.403
450.8,2151.9,0.395
452.1,2140.6,0.393
452.7,2028.4,0.373
453.9,2043.4,0.375
455.4,2006,0.368
456,1949.8,0.358
456.9,1919.9,0.353
457.5,1878.8,0.345
458.7,1890,0.347
459.9,1755.3,0.322
461.7,1695.5,0.311
463,1669.3,0.307
463.6,1699.2,0.312
464.8,1594.4,0.293
466,1579.5,0.290
466.6,1530.8,0.281
469,1504.7,0.276
469.6,1523.4,0.280
470.8,1482.2,0.272
472,1493.4,0.274
473.3,1504.7,0.276
476.3,1512.1,0.278
477.8,1512.1,0.278
478.7,1444.8,0.265
479.9,1456,0.267
481.7,1399.9,0.257
485.1,1343.8,0.247
487.5,1272.7,0.234
490.2,1190.4,0.219
493.8,1160.5,0.213
494.4,1134.3,0.208
497.2,1190.4,0.219
498.7,1246.5,0.229
499.9,1194.2,0.219
502.6,1171.7,0.215
503.5,1190.4,0.219
505.6,1123.1,0.206
507.2,1022.1,0.188
508.7,958.5,0.176
510.8,939.8,0.173
512.9,879.9,0.162
515.3,853.7,0.157
516.5,887.4,0.163
519,846.2,0.155
525.3,853.7,0.157
525.6,838.8,0.154
528.1,838.8,0.154
529.6,801.3,0.147
532.3,775.2,0.142
533.8,726.5,0.133
536.8,711.6,0.131
539.3,700.3,0.129
545.6,719,0.132
549.6,689.1,0.127
554.4,655.4,0.120
557.4,595.6,0.109
560.8,535.7,0.098
564.1,490.8,0.090
568.6,468.4,0.086
578,479.6,0.088
583.8,479.6,0.088
587.7,442.2,0.081
591.9,423.5,0.078
597.4,374.9,0.069
604.1,356.2,0.065
612.5,326.2,0.060
620.7,318.7,0.059
624.9,273.9,0.050
630.7,258.9,0.048
636.5,300,0.055
642.2,307.5,0.056
644.3,307.5,0.056
649.2,258.9,0.048
653.4,217.7,0.040
662.8,221.5,0.041
671.3,232.7,0.043
677.3,232.7,0.043
686.7,202.8,0.037
700.3,184.1,0.034
718.2,165.4,0.030
737,150.4,0.028
750.6,142.9,0.026
764.5,120.5,0.022
779.7,128,0.024
791.5,116.7,0.021
803,116.7,0.021
813,105.5,0.019
820.8,120.5,0.022
828.7,113,0.021
836.6,98,0.018
846.3,105.5,0.019
855.4,98,0.018
867.5,98,0.018
877.2,98,0.018
887.2,90.5,0.017
899.6,83.1,0.015
919.6,83.1,0.015
932.9,83.1,0.015
950.4,83.1,0.015
969.2,75.6,0.014